Division,Sub Division,Feeder,Feeder Code,A/c No,Name,Address,Category,Supply Type,Mobile No,Status,Bill Basis,Total Bill Amount (Rs),Last Paid Date,Last Paid Amount (Rs),Load,Load Unit,Current Assessment (Rs),Bill Date,Current Month Consumption (kWh),Supply Voltage (kV),Connection Type,Meter Status,Meter Exception Reason,Arrear (Rs),Total Outstanding (Rs),LPSC (Rs),Payment Mode
NAWABGANJ,SDO-6,BEGAM PURWA,51333410058BEG,4685795132,Consumer,Kanpur,LMV-1,10,9666378930,In Service,ASS,1417.25,2026-03-10,702.0,6.1,KW,702.0,2026-03-01,70,0.230kV,POSTPAID,N,,715.25,715.25,71.53,CASH
VIKAS NAGAR,SDO-4,PARED,51331220048PAR,4682367323,Consumer,Kanpur,HV-1,10,9352096144,In Service,MU,81.0,2026-03-10,81.0,1.9,KW,81.0,2026-03-01,2,0.230kV,POSTPAID,N,Port Dirty/Faulty,0.0,-674.61,0.0,CASH
KALYANPUR,SDO-8,ACHARYA NAGAR,51331510043ACH,4681288366,Consumer,Kanpur,LMV-1,10,9275354147,In Service,MU,1481.88,2026-03-10,868.0,32.2,KW,1085.0,2026-03-01,120,0.230kV,POSTPAID,F,,396.88,613.88,39.69,CASH
DADA NAGAR,SDO-5,KDA,51332110070KDA,4689232876,Consumer,Kanpur,LMV-1,10,9691367843,In Service,MU,667.0,2026-03-10,667.0,2.8,KW,667.0,2026-03-01,75,0.400kV,PREPAID,N,,0.0,0.0,0.0,CASH
RAWATPUR,SDO-7,LAKAR MANDI,51331210045LAK,4681878955,Consumer,Kanpur,LMV-1,100,9105658657,Disconnected,MU,18494.28,2026-03-10,2114.0,2.4,KW,2114.0,2026-03-01,275,0.230kV,POSTPAID,N,,16380.28,-760.71,1638.03,UPI
KALYANPUR,SDO-3,BAKAR MANDI,51331210045BAK,4681596713,Consumer,Kanpur,LMV-1,10,9394408103,In Service,MU,725.0,2026-03-10,725.0,6.9,KW,725.0,2026-03-01,88,0.230kV,POSTPAID,F,Port Dirty/Faulty,0.0,0.0,0.0,UPI
KIDWAI NAGAR,SDO-6,MAQBARA,51331230046MAQ,4682144080,Consumer,Kanpur,LMV-1,10,9689009193,In Service,MU,388.0,2026-03-10,310.4,1.8,KW,388.0,2026-03-01,30,0.230kV,PREPAID,N,On height,0.0,77.6,0.0,IPYG
JAJMAU,SDO-5,PALM COURT,51331320030PAL,4688902986,Consumer,Kanpur,LMV-2,10,9309869404,In Service,CEIL,1905.0,2026-03-10,1809.75,1.8,KW,1905.0,2026-03-01,253,0.230kV,POSTPAID,N,,0.0,95.25,0.0,CASH
ARMAPUR,SDO-3,MANJUSHREE,51331110001MAN,4688077928,Consumer,Kanpur,LMV-1,10,9269913850,In Service,MU,1103.0,2026-03-10,882.4,1.9,KW,1103.0,2026-03-01,144,0.230kV,POSTPAID,N,Port Dirty/Faulty,0.0,220.6,0.0,UPI
JAJMAU,SDO-7,JK CANCER,51331320030JKC,4682406321,Consumer,Kanpur,LMV-1,10,9365669920,In Service,MU,1258.0,2026-03-10,0.0,1.9,KW,1258.0,2026-03-01,146,0.230kV,PREPAID,N,,0.0,1258.0,0.0,UPI
GENERALGANJ,SDO-4,IDGAH,51331320049IDG,4688075932,Consumer,Kanpur,LMV-1,10,9977201272,In Service,PROV,1382.0,2026-03-10,1382.0,1.0,KW,1382.0,2026-03-01,157,0.230kV,PREPAID,N,,0.0,0.0,0.0,CARD
RAWATPUR,SDO-6,LAKAR MANDI,51331210045LAK,4683957314,Consumer,Kanpur,LMV-1,10,9788215051,In Service,MU,3267.86,2026-03-10,1606.4,5.6,KW,2008.0,2026-03-01,259,0.400kV,PREPAID,N,,1259.86,1661.46,125.99,CASH
NAWABGANJ,SDO-1,SUTER GANJ,51331230046SUT,4683297753,Consumer,Kanpur,LMV-1,10,9798058027,In Service,ASS,3994.34,2026-03-10,0.0,2.1,KW,1144.0,2026-03-01,139,0.230kV,POSTPAID,N,,2850.34,3994.34,285.03,UPI
VIKAS NAGAR,SDO-1,PARED,51331220048PAR,4688440993,Consumer,Kanpur,LMV-1,10,9526185448,In Service,MU,3493.94,2026-03-10,2002.0,2.9,KW,2002.0,2026-03-01,270,0.230kV,POSTPAID,N,Meter not downloadable,1491.94,-1797.96,149.19,CASH
GUMTI,SDO-5,HARSH NAGAR,51331320050HAR,4686506116,Consumer,Kanpur,LMV-1,10,9341888080,In Service,PROV,3142.08,2026-03-10,1187.0,1.9,KW,1187.0,2026-03-01,154,0.230kV,PREPAID,N,,1955.08,1955.08,195.51,CASH
NAWABGANJ,SDO-8,JHAKARKATI BRIDGE,51331110026JHA,4683151229,Consumer,Kanpur,HV-1,10,9121673459,In Service,MU,2378.84,2026-03-10,683.2,3.0,KW,854.0,2026-03-01,99,0.230kV,POSTPAID,N,Port Dirty/Faulty,1524.84,-1863.57,152.48,CASH
ARMAPUR,SDO-3,SISAMAU,51331210045SIS,4681085462,Consumer,Kanpur,LMV-1,101,9382948565,In Service,MU,3078.46,2026-03-10,1159.0,1.7,KW,1220.0,2026-03-01,153,0.230kV,POSTPAID,F,,1858.46,1919.46,185.85,IPYG
PANKI,SDO-2,MUIR MILL SUBSTATION FEEDER,51331220051MSU,4683734871,Consumer,Kanpur,HV-1,100,9358729698,In Service,MU,732.0,2026-03-10,732.0,2.0,KW,732.0,2026-03-01,77,0.230kV,POSTPAID,N,,0.0,0.0,0.0,CASH
VIKAS NAGAR,SDO-3,BHANNA PURWA,51331510043BHA,4687432758,Consumer,Kanpur,LMV-2,H21,9616370889,In Service,MU,2173.0,2026-03-10,2173.0,1.1,KW,2173.0,2026-03-01,285,0.230kV,POSTPAID,N,,0.0,0.0,0.0,CASH
RAWATPUR,SDO-1,MOTI JHEEL,51331320030MOT,4689496633,Consumer,Kanpur,LMV-1,10,9268874023,Disconnected,MU,7921.74,2026-03-10,1769.6,1.8,KW,2212.0,2026-03-01,289,0.400kV,POSTPAID,N,,5709.74,6152.14,570.97,CASH
VIKAS NAGAR,SDO-1,BHANNA PURWA,51331510043BHA,4684356136,Consumer,Kanpur,LMV-1,10,9585610368,In Service,PROV,4011.0,2026-03-10,4011.0,3.1,KW,4011.0,2026-03-01,538,0.230kV,PREPAID,N,,0.0,0.0,0.0,CASH
RAWATPUR,SDO-7,LAKAR MANDI,51331210045LAK,4682287322,Consumer,Kanpur,LMV-1,100,9326686977,In Service,ASS,606.0,2026-03-10,606.0,1.7,KW,606.0,2026-03-01,76,0.230kV,POSTPAID,N,On height,0.0,-43.17,0.0,UPI
FAZALGANJ,SDO-2,IFTKHARABAD,51331120020IFT,4681860807,Consumer,Kanpur,LMV-1,10,9911312067,In Service,PROV,2073.0,2026-03-10,1036.5,1.8,KW,2073.0,2026-03-01,266,0.230kV,POSTPAID,N,On height,0.0,1036.5,0.0,CASH
BARRA,SDO-2,BEEMA CHAURAHA,51333310083BEE,4683304967,Consumer,Kanpur,LMV-1,10,9238589581,In Service,CEIL,2110.0,2026-03-10,2110.0,1.7,KW,2110.0,2026-03-01,266,0.230kV,POSTPAID,N,,0.0,0.0,0.0,CASH
FAZALGANJ,SDO-1,DALEL PURWA,51331120020DAL,4689603290,Consumer,Kanpur,LMV-1,10,9611255945,In Service,MU,883.0,2026-03-10,838.85,1.8,KW,883.0,2026-03-01,90,0.230kV,POSTPAID,F,Port Dirty/Faulty,0.0,44.15,0.0,CASH
GOVIND NAGAR,SDO-8,BHAGAT SINGH,51331110001BHA,4682785386,Consumer,Kanpur,LMV-1,10,9973380855,In Service,CEIL,1307.0,2026-03-10,1045.6,2.3,KW,1307.0,2026-03-01,155,0.230kV,PREPAID,N,,0.0,261.4,0.0,CARD
FAZALGANJ,SDO-7,DALEL PURWA,51331120020DAL,4683923731,Consumer,Kanpur,LMV-2,10,9122920256,In Service,MU,4475.65,2026-03-10,2063.0,1.1,KW,2063.0,2026-03-01,281,0.400kV,POSTPAID,N,Port Dirty/Faulty,2412.65,-1398.32,241.26,CARD
KALYANPUR,SDO-5,BAKAR MANDI,51331210045BAK,4684856183,Consumer,Kanpur,LMV-1,10,9202771782,In Service,MU,7304.94,2026-03-10,2208.0,2.1,KW,2208.0,2026-03-01,286,0.230kV,PREPAID,N,,5096.94,5096.94,509.69,CASH
KALYANPUR,SDO-4,SURSA MANDIR,51331110001SUR,4684126502,Consumer,Kanpur,LMV-1,10,9424781522,In Service,ASS,2531.26,2026-03-10,2145.0,3.6,KW,2145.0,2026-03-01,273,0.230kV,POSTPAID,N,,386.26,386.26,38.63,CARD
KALYANPUR,SDO-4,SURSA MANDIR,51331110001SUR,4685303146,Consumer,Kanpur,LMV-1,10,9676343223,In Service,ASS,941.0,2026-03-10,752.8,2.6,KW,941.0,2026-03-01,96,0.230kV,POSTPAID,N,On height,0.0,188.2,0.0,UPI
BARRA,SDO-4,BEEMA CHAURAHA,51333310083BEE,4689447527,Consumer,Kanpur,LMV-1,10,9178677389,In Service,MU,3762.0,2026-03-10,3762.0,2.7,KW,3762.0,2026-03-01,524,0.230kV,PREPAID,N,Meter not downloadable,0.0,0.0,0.0,UPI
DADA NAGAR,SDO-1,KDA,51332110070KDA,4681344589,Consumer,Kanpur,LMV-1,10,9122208378,In Service,MU,2123.0,2026-03-10,2123.0,3.9,KW,2123.0,2026-03-01,283,0.230kV,POSTPAID,N,Port Dirty/Faulty,0.0,0.0,0.0,IPYG
SHUKLAGANJ,SDO-7,SHIVALA PT,51331420034SHI,4681767771,Consumer,Kanpur,LMV-1,10,9815873520,In Service,CEIL,427.22,2026-03-10,245.0,3.0,KW,245.0,2026-03-01,27,0.230kV,PREPAID,N,On height,182.22,-4.95,18.22,CASH
FAZALGANJ,SDO-8,IFTKHARABAD,51331120020IFT,4681565051,Consumer,Kanpur,LMV-1,10,9692496562,In Service,CEIL,10677.58,2026-03-10,243.0,3.4,KW,243.0,2026-03-01,27,0.230kV,PREPAID,N,,10434.58,10434.58,1043.46,UPI
DADA NAGAR,SDO-5,KHALASI LINE,51331320049KHA,4687237087,Consumer,Kanpur,HV-1,10,9446669113,In Service,MU,6567.0,2026-03-10,6567.0,4.5,KW,6567.0,2026-03-01,923,0.400kV,POSTPAID,N,On height,0.0,0.0,0.0,CASH
KIDWAI NAGAR,SDO-8,CARWALO NAGAR,51331110026CAR,4688282199,Consumer,Kanpur,LMV-2,10,9854272971,In Service,MU,1223.1,2026-03-10,891.1,2.4,KW,938.0,2026-03-01,92,0.230kV,POSTPAID,F,,285.1,332.0,28.51,IPYG
BARRA,SDO-2,GREEN PARK,51331310039GRE,4687992089,Consumer,Kanpur,LMV-2,10,9249838184,Disconnected,MU,820.0,2026-03-10,820.0,1.7,KW,820.0,2026-03-01,97,0.230kV,PREPAID,N,,0.0,0.0,0.0,CASH
BARRA,SDO-5,BEEMA CHAURAHA,51333310083BEE,4686989946,Consumer,Kanpur,LMV-1,10,9484390648,In Service,MU,2951.63,2026-03-10,1172.3,2.3,KW,1234.0,2026-03-01,152,0.230kV,PREPAID,F,Meter not downloadable,1717.63,1779.33,171.76,IPYG
HARBANSH MOHAL,SDO-7,LAL KUAN,51331210047LAL,4687335755,Consumer,Kanpur,LMV-1,10,9449078580,In Service,PROV,7131.39,2026-03-10,1980.0,12.4,KW,1980.0,2026-03-01,252,0.230kV,POSTPAID,N,Port Dirty/Faulty,5151.39,5151.39,515.14,CASH
KIDWAI NAGAR,SDO-8,MAQBARA,51331230046MAQ,4685715858,Consumer,Kanpur,LMV-1,10,9880435026,Disconnected,MU,1157.0,2026-03-10,0.0,2.8,KW,1157.0,2026-03-01,130,0.230kV,POSTPAID,N,On height,0.0,-1508.78,0.0,IPYG
VIKAS NAGAR,SDO-8,PARED,51331220048PAR,4685628760,Consumer,Kanpur,LMV-1,10,9984135363,In Service,MU,1171.0,2026-03-10,1171.0,1.0,KW,1171.0,2026-03-01,144,0.230kV,POSTPAID,N,Port Dirty/Faulty,0.0,0.0,0.0,CASH
KIDWAI NAGAR,SDO-1,MAQBARA,51331230046MAQ,4686030176,Consumer,Kanpur,LMV-2,H21,9712534329,In Service,MU,1177.0,2026-03-10,941.6,2.1,KW,1177.0,2026-03-01,149,0.230kV,POSTPAID,F,,0.0,235.4,0.0,CARD
RAWATPUR,SDO-3,LAKAR MANDI,51331210045LAK,4685365158,Consumer,Kanpur,LMV-1,10,9952137101,In Service,CEIL,1080.0,2026-03-10,1080.0,2.2,KW,1080.0,2026-03-01,125,0.230kV,POSTPAID,N,Port Dirty/Faulty,0.0,0.0,0.0,UPI
HARBANSH MOHAL,SDO-4,CHANDRIKA DEVI,51331120033CHA,4686751194,Consumer,Kanpur,LMV-1,10,9476917159,In Service,ASS,1410.51,2026-03-10,1042.4,0.9,KW,1303.0,2026-03-01,154,0.230kV,POSTPAID,N,,107.51,368.11,10.75,UPI
RAWATPUR,SDO-4,EH FEEDER,51331220048EHF,4684582577,Consumer,Kanpur,LMV-1,10,9708716334,In Service,MU,689.0,2026-03-10,654.55,1.2,KW,689.0,2026-03-01,68,0.230kV,POSTPAID,N,On height,0.0,34.45,0.0,IPYG
HARBANSH MOHAL,SDO-2,CHANDRIKA DEVI,51331120033CHA,4686394757,Consumer,Kanpur,LMV-1,10,9231651402,In Service,PROV,1261.0,2026-03-10,1008.8,2.2,KW,1261.0,2026-03-01,152,0.230kV,POSTPAID,F,,0.0,252.2,0.0,CASH
GOVIND NAGAR,SDO-6,KESA HOUSE,51331220051KES,4684492792,Consumer,Kanpur,LMV-1,10,9850018459,In Service,ASS,4149.42,2026-03-10,3964.0,2.3,KW,3964.0,2026-03-01,526,0.230kV,PREPAID,N,,185.42,185.42,18.54,UPI
FAZALGANJ,SDO-8,DKP-68,51331120033DKP,4684227519,Consumer,Kanpur,LMV-1,10,9300598212,In Service,CEIL,2194.0,2026-03-10,2194.0,0.9,KW,2194.0,2026-03-01,284,0.230kV,PREPAID,N,Meter not downloadable,0.0,0.0,0.0,CASH
VIKAS NAGAR,SDO-3,PARED,51331220048PAR,4688253140,Consumer,Kanpur,LMV-2,10,9850590657,In Service,ASS,1970.0,2026-03-10,1970.0,1.7,KW,1970.0,2026-03-01,263,0.230kV,POSTPAID,N,Port Dirty/Faulty,0.0,-2402.29,0.0,CASH
GENERALGANJ,SDO-3,DY KA PARAV,51331120020DYK,4689854193,Consumer,Kanpur,LMV-2,100,9146697053,In Service,PROV,1208.0,2026-03-10,1208.0,1.9,KW,1208.0,2026-03-01,154,0.230kV,POSTPAID,N,,0.0,-3100.27,0.0,IPYG
KIDWAI NAGAR,SDO-5,CARWALO NAGAR,51331110026CAR,4682084817,Consumer,Kanpur,HV-1,10,9775631334,In Service,PROV,1950.0,2026-03-10,1560.0,6.4,KW,1950.0,2026-03-01,252,0.230kV,POSTPAID,N,,0.0,390.0,0.0,UPI
SISAMAU,SDO-3,M-18B BANS MANDI,51331110001MBA,4686882459,Consumer,Kanpur,LMV-1,H21,9276652744,In Service,MU,2071.22,2026-03-10,1943.0,1.2,KW,1943.0,2026-03-01,254,0.230kV,POSTPAID,N,,128.22,128.22,12.82,CASH
HARBANSH MOHAL,SDO-3,LAL KUAN,51331210047LAL,4689498589,Consumer,Kanpur,LMV-1,10,9134731047,In Service,MU,10339.03,2026-03-10,3876.0,2.3,KW,3876.0,2026-03-01,522,0.230kV,PREPAID,N,,6463.03,6463.03,646.3,IPYG
KAKADEO,SDO-5,GANGOTRI,51331320049GAN,4688950528,Consumer,Kanpur,LMV-1,10,9369367287,In Service,MU,688.0,2026-03-10,688.0,2.9,KW,688.0,2026-03-01,65,0.400kV,PREPAID,F,,0.0,0.0,0.0,CARD
JAJMAU,SDO-6,ELDICO,51331110026ELD,4686737062,Consumer,Kanpur,LMV-1,H21,9584740708,In Service,CEIL,847.0,2026-03-10,847.0,0.9,KW,847.0,2026-03-01,85,0.230kV,POSTPAID,N,Port Dirty/Faulty,0.0,-2121.79,0.0,UPI
KAKADEO,SDO-8,DADA MIYAN,51331210047DAD,4681445126,Consumer,Kanpur,LMV-1,10,9419772340,Disconnected,MU,2127.43,2026-03-10,0.0,2.0,KW,1324.0,2026-03-01,153,0.400kV,POSTPAID,N,Port Dirty/Faulty,803.43,2127.43,80.34,CASH
ZARIB CHAUKI,SDO-3,RAWATPUR,51331320030RAW,4689114316,Consumer,Kanpur,LMV-1,100,9587745147,In Service,MU,1175.0,2026-03-10,940.0,3.1,KW,1175.0,2026-03-01,146,0.400kV,POSTPAID,N,On height,0.0,-2027.41,0.0,IPYG
SISAMAU,SDO-6,M-18B BANS MANDI,51331110001MBA,4689954552,Consumer,Kanpur,LMV-1,10,9775469545,In Service,MU,576.99,2026-03-10,451.0,1.9,KW,451.0,2026-03-01,32,0.230kV,PREPAID,N,On height,125.99,125.99,12.6,IPYG
FAZALGANJ,SDO-6,DALEL PURWA,51331120020DAL,4689711024,Consumer,Kanpur,LMV-1,10,9173882730,In Service,ASS,1003.0,2026-03-10,1003.0,1.6,KW,1003.0,2026-03-01,130,0.230kV,PREPAID,N,Port Dirty/Faulty,0.0,-2441.22,0.0,CASH
COLONELGANJ,SDO-8,TIKONIA PARK,51331310039TIK,4686689124,Consumer,Kanpur,LMV-1,101,9318846929,In Service,CEIL,1284.02,2026-03-10,529.15,2.0,BHP,557.0,2026-03-01,68,0.230kV,POSTPAID,N,,727.02,-52.66,72.7,IPYG
NAWABGANJ,SDO-5,BEGAM PURWA,51333410058BEG,4686744858,Consumer,Kanpur,LMV-1,100,9201312896,In Service,MU,2228.0,2026-03-10,2116.6,0.9,KW,2228.0,2026-03-01,277,0.230kV,POSTPAID,N,On height,0.0,111.4,0.0,UPI
GUMTI,SDO-6,HARSH NAGAR,51331320050HAR,4681114255,Consumer,Kanpur,LMV-1,10,9951954193,Disconnected,MU,1216.0,2026-03-10,1216.0,1.6,KW,1216.0,2026-03-01,155,0.230kV,POSTPAID,N,Meter not downloadable,0.0,0.0,0.0,IPYG
RAWATPUR,SDO-3,LAKAR MANDI,51331210045LAK,4682453478,Consumer,Kanpur,HV-1,10,9581774656,In Service,PROV,793.0,2026-03-10,396.5,15.0,KVA,793.0,2026-03-01,86,0.230kV,PREPAID,F,Port Dirty/Faulty,0.0,396.5,0.0,CASH
KAKADEO,SDO-6,GANGOTRI,51331320049GAN,4685961060,Consumer,Kanpur,LMV-1,100,9183272098,In Service,MU,3795.0,2026-03-10,3795.0,4.0,KW,3795.0,2026-03-01,533,0.230kV,PREPAID,N,On height,0.0,0.0,0.0,UPI
NAWABGANJ,SDO-4,BEGAM PURWA,51333410058BEG,4689614362,Consumer,Kanpur,LMV-1,10,9223442730,In Service,MU,658.0,2026-03-10,658.0,1.7,KW,658.0,2026-03-01,61,0.230kV,POSTPAID,N,On height,0.0,-985.96,0.0,UPI
VIKAS NAGAR,SDO-6,BHANNA PURWA,51331510043BHA,4686360444,Consumer,Kanpur,LMV-1,10,9129822551,In Service,ASS,2220.0,2026-03-10,2109.0,2.2,KW,2220.0,2026-03-01,281,0.230kV,POSTPAID,N,,0.0,111.0,0.0,IPYG
DADA NAGAR,SDO-8,KDA,51332110070KDA,4682570302,Consumer,Kanpur,LMV-1,10,9979164648,In Service,MU,1005.0,2026-03-10,1005.0,1.7,KW,1005.0,2026-03-01,120,0.230kV,POSTPAID,N,Port Dirty/Faulty,0.0,0.0,0.0,CASH
FAZALGANJ,SDO-7,IFTKHARABAD,51331120020IFT,4685894213,Consumer,Kanpur,LMV-1,10,9945487909,In Service,ASS,3532.77,2026-03-10,978.0,1.1,KW,978.0,2026-03-01,128,0.400kV,PREPAID,N,On height,2554.77,2554.77,255.48,CASH
NAWABGANJ,SDO-7,JHAKARKATI BRIDGE,51331110026JHA,4687440748,Consumer,Kanpur,LMV-1,10,9345878432,In Service,MU,1490.31,2026-03-10,818.0,2.5,KW,818.0,2026-03-01,75,0.230kV,POSTPAID,N,Meter not downloadable,672.31,672.31,67.23,UPI
VIKAS NAGAR,SDO-7,BHANNA PURWA,51331510043BHA,4682189632,Consumer,Kanpur,LMV-1,100,9201134022,In Service,MU,6954.85,2026-03-10,804.0,1.7,KW,804.0,2026-03-01,80,0.230kV,POSTPAID,F,,6150.85,-776.57,615.08,UPI
GENERALGANJ,SDO-8,IDGAH,51331320049IDG,4681291483,Consumer,Kanpur,LMV-1,10,9532407880,In Service,CEIL,1349.53,2026-03-10,917.6,1.1,KW,1147.0,2026-03-01,145,0.230kV,POSTPAID,N,,202.53,431.93,20.25,CASH
ZARIB CHAUKI,SDO-4,RAWATPUR,51331320030RAW,4687777842,Consumer,Kanpur,LMV-1,10,9633210034,In Service,MU,3672.0,2026-03-10,3488.4,2.5,BHP,3672.0,2026-03-01,503,0.230kV,POSTPAID,N,,0.0,-186.02,0.0,IPYG
GENERALGANJ,SDO-3,BURF KHANA,51331210045BUR,4683468609,Consumer,Kanpur,LMV-1,100,9653654870,In Service,MU,949.0,2026-03-10,949.0,12.6,KW,949.0,2026-03-01,96,0.230kV,POSTPAID,N,,0.0,0.0,0.0,IPYG
SHUKLAGANJ,SDO-5,ASHOK NAGAR,51331320050ASH,4684553351,Consumer,Kanpur,LMV-1,10,9396294027,In Service,MU,1981.38,2026-03-10,936.8,2.2,KW,1171.0,2026-03-01,138,0.230kV,POSTPAID,N,Meter not downloadable,810.38,-2592.78,81.04,UPI
PANKI,SDO-2,TAR GHAR,51331430038TAR,4681362236,Consumer,Kanpur,LMV-1,10,9302194986,In Service,PROV,1337.0,2026-03-10,1069.6,0.9,KW,1337.0,2026-03-01,150,0.230kV,PREPAID,N,Port Dirty/Faulty,0.0,267.4,0.0,IPYG
KIDWAI NAGAR,SDO-3,CARWALO NAGAR,51331110026CAR,4681716753,Consumer,Kanpur,LMV-1,10,9790802926,In Service,PROV,713.0,2026-03-10,713.0,2.3,BHP,713.0,2026-03-01,74,0.230kV,PREPAID,N,On height,0.0,0.0,0.0,IPYG
JAJMAU,SDO-6,JK CANCER,51331320030JKC,4683208836,Consumer,Kanpur,LMV-1,10,9898757270,In Service,CEIL,1215.0,2026-03-10,607.5,4.7,KW,1215.0,2026-03-01,149,0.230kV,POSTPAID,N,,0.0,607.5,0.0,CARD
BARRA,SDO-4,BEEMA CHAURAHA,51333310083BEE,4686153911,Consumer,Kanpur,LMV-2,10,9581846386,Disconnected,ASS,3896.0,2026-03-10,0.0,2.0,KW,3896.0,2026-03-01,532,0.230kV,POSTPAID,N,,0.0,3896.0,0.0,CASH
SISAMAU,SDO-5,PANI KI TANKI BECON GANJ,51331210047NEW,4685483143,Consumer,Kanpur,LMV-2,10,9814320165,In Service,MU,311.0,2026-03-10,311.0,0.9,KW,311.0,2026-03-01,37,0.230kV,POSTPAID,N,,0.0,0.0,0.0,UPI
KALYANPUR,SDO-6,BAKAR MANDI,51331210045BAK,4686764764,Consumer,Kanpur,LMV-1,10,9339119779,In Service,MU,2101.0,2026-03-10,1995.95,2.2,KW,2101.0,2026-03-01,270,0.230kV,POSTPAID,N,Port Dirty/Faulty,0.0,105.05,0.0,UPI
GUMTI,SDO-2,ELGIN,51331110001ELG,4687756714,Consumer,Kanpur,LMV-1,100,9638563348,In Service,MU,645.0,2026-03-10,645.0,2.5,KW,645.0,2026-03-01,61,0.400kV,PREPAID,N,Port Dirty/Faulty,0.0,-31.85,0.0,CARD
GENERALGANJ,SDO-2,IDGAH,51331320049IDG,4686324939,Consumer,Kanpur,LMV-1,10,9188165066,In Service,MU,3836.0,2026-03-10,3068.8,3.6,KW,3836.0,2026-03-01,535,0.400kV,POSTPAID,N,,0.0,767.2,0.0,UPI
VIKAS NAGAR,SDO-5,PARED,51331220048PAR,4681788324,Consumer,Kanpur,LMV-1,10,9304855519,Disconnected,MU,6837.26,2026-03-10,2061.0,1.9,KW,2061.0,2026-03-01,279,0.230kV,POSTPAID,N,,4776.26,4776.26,477.63,CARD
PANKI,SDO-4,MUIR MILL SUBSTATION FEEDER,51331220051MSU,4681175441,Consumer,Kanpur,LMV-1,10,9366198715,In Service,CEIL,523.0,2026-03-10,523.0,2.2,KW,523.0,2026-03-01,66,0.230kV,POSTPAID,F,Meter not downloadable,0.0,0.0,0.0,UPI
KALYANPUR,SDO-3,ACHARYA NAGAR,51331510043ACH,4686001866,Consumer,Kanpur,LMV-1,H21,9763661921,In Service,PROV,975.44,2026-03-10,628.0,2.1,BHP,628.0,2026-03-01,80,0.230kV,PREPAID,N,,347.44,-495.05,34.74,UPI
VIKAS NAGAR,SDO-5,PARED,51331220048PAR,4685890187,Consumer,Kanpur,LMV-1,101,9650812554,In Service,CEIL,4465.76,2026-03-10,2047.0,2.1,KW,2047.0,2026-03-01,251,0.230kV,POSTPAID,N,,2418.76,2418.76,241.88,IPYG
FAZALGANJ,SDO-5,IFTKHARABAD,51331120020IFT,4685714315,Consumer,Kanpur,LMV-1,101,9991361525,In Service,MU,7305.03,2026-03-10,934.8,1.0,KW,984.0,2026-03-01,129,0.230kV,POSTPAID,F,,6321.03,6370.23,632.1,UPI
JAJMAU,SDO-6,PALM COURT,51331320030PAL,4682550635,Consumer,Kanpur,LMV-1,10,9810488459,In Service,ASS,1020.0,2026-03-10,1020.0,0.8,KW,1020.0,2026-03-01,128,0.230kV,POSTPAID,N,,0.0,0.0,0.0,IPYG
GOVIND NAGAR,SDO-3,KESA HOUSE,51331220051KES,4688236227,Consumer,Kanpur,LMV-1,10,9359675020,In Service,MU,5121.75,2026-03-10,1000.8,1.2,KW,1251.0,2026-03-01,143,0.230kV,POSTPAID,N,,3870.75,4120.95,387.08,IPYG
VIKAS NAGAR,SDO-5,PARED,51331220048PAR,4686015413,Consumer,Kanpur,LMV-1,10,9183716782,In Service,MU,626.98,2026-03-10,559.55,1.8,KW,589.0,2026-03-01,73,0.230kV,POSTPAID,N,Port Dirty/Faulty,37.98,67.43,3.8,UPI
GUMTI,SDO-1,KAN CHAMBER,51331220051KAN,4681110922,Consumer,Kanpur,LMV-1,10,9336338743,In Service,ASS,1986.0,2026-03-10,1588.8,1.6,KW,1986.0,2026-03-01,273,0.230kV,POSTPAID,F,Port Dirty/Faulty,0.0,-2169.22,0.0,UPI
RAWATPUR,SDO-4,LAKAR MANDI,51331210045LAK,4687775474,Consumer,Kanpur,LMV-1,10,9563325804,In Service,PROV,1390.0,2026-03-10,1112.0,1.6,KW,1390.0,2026-03-01,156,0.230kV,POSTPAID,N,Meter not downloadable,0.0,278.0,0.0,UPI
JAJMAU,SDO-5,JK CANCER,51331320030JKC,4685414943,Consumer,Kanpur,LMV-1,10,9384160691,In Service,MU,6594.0,2026-03-10,6594.0,1.0,KW,6594.0,2026-03-01,932,0.230kV,POSTPAID,N,,0.0,-733.45,0.0,CARD
FAZALGANJ,SDO-1,IFTKHARABAD,51331120020IFT,4688154721,Consumer,Kanpur,LMV-1,10,9981489473,Disconnected,MU,898.0,2026-03-10,898.0,1.2,KW,898.0,2026-03-01,95,0.400kV,POSTPAID,N,Port Dirty/Faulty,0.0,-599.24,0.0,CARD
GENERALGANJ,SDO-5,IDGAH,51331320049IDG,4688139674,Consumer,Kanpur,LMV-1,H21,9168587792,In Service,MU,2063.0,2026-03-10,2063.0,2.4,KW,2063.0,2026-03-01,281,0.400kV,POSTPAID,F,,0.0,-2965.58,0.0,CARD
DADA NAGAR,SDO-2,KHALASI LINE,51331320049KHA,4684669402,Consumer,Kanpur,LMV-1,10,9325267661,In Service,PROV,3592.21,2026-03-10,1943.7,1.8,KW,2046.0,2026-03-01,258,0.230kV,POSTPAID,N,,1546.21,1648.51,154.62,CARD
BARRA,SDO-5,BEEMA CHAURAHA,51333310083BEE,4686164075,Consumer,Kanpur,LMV-2,10,9377901027,In Service,MU,3769.06,2026-03-10,2260.0,3.4,KW,2260.0,2026-03-01,288,0.230kV,POSTPAID,N,,1509.06,1509.06,150.91,CASH
